리뷰,리뷰길이,예측평점
간편한 조리법으로 한끼 먹기 좋네요,19,5
맛있어서 자주 구매해요 에프에 돌리면 바삭,23,5
친구랑 돈까스 냉면 사먹었던게 너무 맛있었어서 집에서 해 먹을려고 컬리 돈까스 주문해봤는데 너무 맛있게 먹었어요 냉동실에 두고있으면 든든해지는 그런 돈가스,86,5
요고 진짜 냉동실에 쟁여야해여,16,5
돈까스는 여기것만 먹어요에프에 돌려서 먹음 맛있어요반찬 없을때 돈까스가 갑자기 땡길때 좋아요,51,5
처음 사봤는데 괜찮네요 에프는 없어서 후라이팬에 굽는데 그래도 맛있어요,39,5
맛있어서 자주 구매해요,12,5
돈까스 맛있어요재주문입니다,14,5
에프용 통등심 돈카츠 맛이 무난하게 먹기 좋습니다,27,4
맛잇게잘먹을게요 또주문할게요,15,5
후기가 좋아서 샀어요 맛잇을 것 같아요,21,5
에어에 돌리면 참 맛있는 돈까스 5개짜리 구입해서 맛있게 먹고 9개 들어있는걸로 재주문,48,5
미니가 너무 괜찮아서 통등심으로 사봤는데 너무 별루요 에프에 돌렸는데 튀김옷이랑 고기랑 따로 놀고 튀김옷은 느끼했어요,65,2
지난번 맛있게 먹고 재구매합니다,17,5
냉동실에 쟁여놓아요,10,5
냉장고 쟁여쟁여템이에요 10개짜리로 다시 구매하려고요,29,5
믿고 재주문하는 상품이에요,14,5
가츠샌드해먹었는데 맛있어요,14,4
항상시키는돈까스재재구매중입니다,16,5
돈까스 점심으로 먹기좋습니다,15,5
할인해서 구매했어요 에어프라이기에 구우면 짱 맛있어요 오전에 구매해서 오후에 배송되었어요 굿입니다,54,5
메밀소바와 함께 먹으면 맛있는 돈까스예요 소바만드는 동안 에프 돌려놓으면 손쉽게 바삭하고 맛있는 돈까스가 완성되어서 편리하고 좋습니다,74,5
컬리돈까스 가성비좋고 맛있어요,16,5
쟁여두는 돈까스 추천,11,5
쟁여둡니다 가성비 좋아요,13,5
컬리 돈까스 마싯어요 에프에 구워서,19,4
크기적당 맛도 적당,10,3
에프에 간편히 돌려먹기 편해요 냉동실 부족으로 9개짜리는 안들어가서 5개 포장용으로 샀어요,50,4
간편하고 맛있어요,9,5
에프용이지만 후라이팬에 해서 먹어야 제일 맛있습니다,28,5
오호 한 입 베어문 아들의 반응,17,3
항상 구매하느 제품이에요 맛있어요,18,5
가성비 좋은 반찬이에요,12,5
치즈 올려서 먹으면 맛있어요,15,5
통등심 돈까스 에프에 간편하게 아들이 좋아해요,25,5
에프용 돈까스는 늘 냉동고에 킵해둬여 반찬으로 먹기 간편하고 좋아요,37,5
반찬없을때 아주 편해요,12,5
여러번 재구매중입니다,11,5
미니 돈가스만 먹다가 첨으로 사봤는데 맛있어요 두툼하니 식감도 괜찮아요 담번에 또 사먹으려구요,52,5
전에도 시켰던 기억이 있는것같은데 그때 맛있게 먹었던것같아 또 주문 했어요,41,4
에어프라이어에 간편하게 돌려 먹을 수 있어 좋아요,27,5
통등심 돈까스 두툼하고 큼직하다 카레라이스에 올려 먹으면 포감감에 행복해진다,42,5
재재재재구매 상품 앞으로도 계속 구매 예정,23,5
재재재구매 상품 간편해서 자주 먹게 됨,21,5
매일 저녁 메뉴를 생각할 때마다 오늘은 뭘 먹이지 하는 고민이 참 크죠 특히 아이들 입맛까지 만족시켜야 하다 보니 더더욱 쉬운 일이 아니에요 그런데 요즘 제가 애정하는 구원 메뉴가 생겼어요 바로 컬리 통등심 돈까스예요 사실 저희 집 아이들도 입맛이 까다로운 편인데 이 돈까스만큼은 두 번 말할 필요 없이 순식간에 접시가 비워지더라고요 조리도 참 간편해서 바쁜 저녁 시간에 딱이에요 에어프라이어에 돌려주기만 하면 끝 180도에 앞뒤로 1520분 정도 구워주면 겉은 바삭하고 속은 촉촉하게 완성돼요 간편하면서도 식탁에 올리면 어디 외식 안 부럽게 근사해 보여서 제가 더 만족스러워요 두툼한 고기의 존재감이 확실해서 먹는 재미도 두 배예요 특히 좋은 점은 튀김옷과 고기가 딱 달라붙어 있어서 먹을 때 흐트러짐 없이 깔끔하게 즐길 수 있다는 거예요 시판 돈까스 중에는 먹다 보면 빵가루만 따로 떨어지거나 고기가 퍽퍽한 경우가 있는데 컬리 돈까스는 그런 걱정 없어서 매번 편하게 먹고 있어요 개인적으로는 아이들이 좋아하는 마카로니 샐러드나 양배추 샐러드 김치만 곁들이면 한 끼 완벽하게 차려져요 느끼함 없이 깔끔하게 즐길 수 있어서 좋아요 바쁜 일상 속에서 컬리 통등심 돈까스는 저에게 없어서는 안 될 구원 메뉴예요 맛 편리함 든든함까지 세 박자를 다 갖춘 아이템이라 강력 추천해요 가족 모두가 좋아해서 늘 냉동실에 채워두고 있는 필수템이랍니다 아이들 저녁 고민될 때 한 번 꼭 활용해보세요,717,5
익히 아는 그맛,8,3
고소하고 맛있어요,9,5
컬리 돈까스는 늘 맛있어요 항상 구매해두고 먹고 싶을때 에프 돌려 먹으면 되요,43,5
아이들 반찬으로 제일 좋아하는 돈까스여서 늘 떨어지지 않게 구입해요,37,5
돈까스 통통하니 너무 맛있어서 두번째 구매했네요,26,5
돈까스 덮밥 있잖아요 소스 있는거 그거 하기 딱임,27,4
도시락반찬용입니더 기대,12,4
먹어보고는 맛있어서 또 구매했어요,18,5
한번씩 돈가스 생각나면 냉동고에서 꺼내먹어요 가성비 좋아요,32,5
에어프라이어로 손쉽게 해결하는 반찬 포장이 좀 불편해요,30,4
아이들이 좋아해 늘 구매하는 상품이에요 맛있고 에어프라이어에 바로 돌릴 수 있어 편해요,48,5
컬리 돈까스 항상 애용합니다 아이들이 좋아해서 자주 이용하고 있어요 도톰하고 고소하니 좋습니다,52,5
한입돈까스 주문하다가 이번엔 큰걸로 시켜 봤어요 양도 넉넉하고 맛있어요,39,5
여기꺼 항상 맛나게 잘 먹고있어요,18,5
가성비 좋고 맛있어요,11,5
미니보다는 통돈가스가 더 맛있는 것 같네요,23,4
제 입맛엔 별로에요뭔가 퍼석한 느낌,19,3
처음 사봤어요 후기믿어봅니다,15,5
컬리 장볼때 빠지지 않고 구입하는 상품이에요 기름냄새 시간 신경 안써도 되고 에어프라이어 200도 15분만 돌리면 바삭한 돈까스 간편하게 먹을수 있어서 자주 구입해요 고기도 도톰하고 잡내없고 조리 간편하고 맛있어서 좋은데 한가지 흠이라면 가격이 자꾸 오르는것 암튼 9개짜리 사놓으면 여러번 먹을수 있어서 좋아요,173,5
처음사보는제품인데 맛있었으면좋겠어요,19,5
에어프라이어용이라 간편해요,14,5
먹어보고 맛있어서 재구매합니다,16,5
냉동실에 늘 쟁여두는 돈가스 에어프라이어로 튀겨도 너무 맛있고 간편해요,39,5
할인하면 구매합니다 간편하고 맛있어요,20,5
너무 편하게 돈가쓰 먹을 수 있어 좋아요,22,5
두툼하고 간편해서 좋아요 이거있음 반찬 뚝딱,24,5
돈까스 너무 맛있어요에프에 구우면 기름 쫙빠지고 바삭해서 최고예요,36,5
돈가스를 좋아해서 배송이 오자마자 바로 저녁식탁에 올렸어요 두께도 적당하고 식감도 바삭바삭해서 아주 맛있게 먹었어요,64,5
도톰하니 돈까스 맛있어요,13,5
매번구매하고있어요 가성비좋아서 항상 만족합니다,25,5
진짜 맛이 없어요 튀김옷 두꺼운데 에프에 돌려도 겉만 딱딱하고 속은 찐덕거려요 그리구 돼지냄새가 너무 많이 나요 이런 돈까스는 팔지 마세요 진짜 품질관리 좀 하셔야겠어요 진짜 실망입니다,103,1
진짜 간편합니다에프에 돌려주기만 하믄 돈까스가똭맛두좋구용,31,5
에어프라이어용 돈까스 맛있어서 재구매,20,5
후기가 좋아서 구매해 봅니다 맛 기대됩니다,23,5
신선하게 잘 왔어요 굿,12,5
에어프라이어 새로 들여놓고 여러번 구매했어요고기 좋아하는 울집 남자들 서로 먹겠다고저는 입맛만 다시는 돈까스,60,5
돈까스 괜찮아요 에프 굽굽,14,4
도톰하니 맛있더라구요 세번째 구매합니다,21,5
저번에 먹었는데 맛있어서 재구매,17,5
대용량으로 사놓기 좋아요 간편하게 한끼 뚝딱,24,5
애들이 잘먹어요바삭함,11,5
지인짜 별로에요 꼬마돈가스 생선가스 다 맛있는데 이거는 실패,33,2
돈까스 좋아하는 아들램을 위해서 소스도 함께 있으면좋겠어요,32,5
에프에 돌리기만 하면되서 편하고 좋아요,21,5
맛있어서 가끔씩 구매해요 기름에 튀겨서 먹어도 맛있고 에어프라이어도 좋아요,41,5
돈까스맛나요추천합니다,11,5
세일하면 종종 시켜먹어요 사실 고기양이 좀 적고 피가 두껍지만 세일하면 가성비있는듯요,47,5
에어프라이어에 돌려서 먹었는데 바삭바삭 두툼한 등심에 맛도 좋더라구요 아이들이 너무 좋아했어요 다먹으면 재구입 고고고,65,5
돈가스 자주 구입해요 아이들 어른 모듀 좋어헙니다,27,5
처음 사봤는데 맛있어요 에프에 돌리기만 하면 바삭하게 만들어지니까 번거롭게 기름 쓸 일도 없고 타지도 않고 너무 맘에 들어요,69,5
맛있어보여서 구매했어요 돈까스,16,5
통등심 돈까스 등심질이 좋고 간간하게 요리하기 편해요,29,4
좋아요좋아요좋아요좋아요 간편하게 먹기 좋아요,24,5
돈까스가 없어 주말에 주문했어요,17,4
냉동실에 쟁여놓고 먹어요,13,5
크기도 크고 맛있네요,11,5
돈까스 토스트 만들어서 먹어요,16,4
없으면 안되는 돈까스,11,3
아이들 반찬으로 늘 구매해요,15,5
에어프라이어에 하니 마싰네요,15,5
맛있게 잘 먹었습니다,11,5
아직 먹기전이지만 기대해봅니다,16,4
잘 먹겠습니다 맛있어요 감사감사감사,19,5
후기도 좋고 할인하길래 냉큼 구매했는데 맛 기대됩니다,29,5
처음 시켜보는데 맛있었음 좋겠네요,18,5
돈까스 두툼하고 맛있아요,13,5
에어프라이기에 넣으면 되서 자주 구매해놓습니다,25,5
맛도 괜찮고 양도 많아요,13,5
돈까스 샌드위치로 밥 반찬으로 간단히 에프에 돌리면 맛있어요,33,5
냉장고에 쟁여 둬요 반찬 없을때 먹으려고 구입,25,5
맛있을 것 같아서 주문했어여,15,5
요기 컬리 돈까스 치킨까스 생선까스 다 맛잇어요 도톰해서 하나면 만족,38,5
가성비조아요 특별하진않아여,14,4
맛있어요 아이도 잘 먹고 간편하게 굿,20,5
간편하게 기름 안쓰고 데워서 저녁해먹으려고요,24,5
튀김옷이 두껍지 않은 편이고 고기가 두툼해요 무난합니다,30,4
아이가 잘 먹어서 자주 주문 중 이네요,21,5
싸고 맛있어요 아들 돈가스 덮밥으로 최고예요,24,5
고메로 사먹다가 컬리에서 판매하길래 사봤어요 닭가슴살치킨까스 두툼하니 맛있으니까 통등심까스도 맛있겠죠,56,5
동생 추천 으로 샀는데 제일 마음에 들어요 맛도 맛있고 품질이 맘에 쏙 들어요,43,5
처음구입했는데 너무 맛있어요 좋습니다,20,5
돈까스 중에서 제일 맛있는 듯,16,2
얘도 재구매 구요 카츠산도 해도 맛있어요,22,4
미리 익혀서 튀겨서 나온거라 살짝만 튀겨도 되요 맛나요 두툼하니 소스도 묶음으로 같이팔면 금상첨화일듯,56,5
매번 콜리에서 주문할 때마다 항상 담는 데 가성비도 좋고 에어프라이어기에 돌려 먹으면 맛있고 자취생 한테도 최고에요,64,5
도톰하니 맛있어서 대용량 구매,16,5
우리집 쟁여두는 필수템 기본 돈까스로 이곳저곳 활용도 최고,32,5
가끔 무난하게 사용할 수 있어요,17,4
이렇게 담겼고 난 맛잇어서 한본에 두장씩 먹어요,26,5
처음 구매해봤는데 맛있었음 좋겠어요,19,5
우리집 쟁여템입니다 맛나요,14,5
돈까리는 에어프라이기에 간편하게 맛있어요,22,5
간편하고 맛도 좋은 돈가스 항상 구매합니다,23,5
자주 구매하고 있어요,11,5
요거 너무 맛있어요 간편해요,15,5
무난하게 먹기 좋아서 한번씩 구매하는 제품이에요,26,4
몇번째 재구매잉지 모르겠음,14,4
맛있어서 자주시킵니다,11,5
두툼하고 맛도 좋아요,11,5
냉동실 필수품,7,5
우리집 냉동실에 상주하는 식량,16,5
돈까스 쵝 오 예 요,11,4
돈가스가 두툼하고 식감이 좋아 냉동실에 늘 떨어지지 않게 채워둡니다 간단히 양배추샐러드만 만들면 되서 편하고 맛있어요,65,5
쫄면이랑 엄청 잘 어울려요 집에서 편하게 먹는거 설명대로 에어프라이에 간편식,42,5
적당한 크기에 식감도 좋은 돈가스 입니다,22,4
아이가 돈까스는 이것만 먹어요 굿,18,4
돈까스는 이게 제일 맛있고 에어에 간편히 돌리고 시켜 먹는 거랑 별반 차이가 없어요,46,5
첫구매 에어로 돌려 맛나게 남은건 후라이팬으로,25,5
대용량으로 가성비도 좋아요 맛도 좋아요,21,5
가성비좋은 돈가스 만족스러워서 재구매했어요,23,5
한조각씩 먹으면 든든해요,13,5
냉동실 든든하게 늘 쟁여놓는 친구들,19,5
돈까스 다른곳 먹어봤는데 여기가 최고네요 통등심 맛있어요,31,5
아이들 반찬으로 치즈등심돈까스 반반씩 주면 아이들이 좋아해요,33,5
튀김류가 생각나서 좋아해서 구매했어요 아직 안 뜯어서 어떻게 생겼는지 보이지가 않네요,47,4
기대이상으로 바삭하고 두툼해서 맛있었습니다 에어프라이 사용해도 후라이팬 튀김한 듯 촉촉 감칠맛 좋습니다,57,5
여러번 재구매하는 컬리 믿템,15,5
그냥 먹을만해요 자주사요,13,4
닭으로 먹다가 요번에 등심으로 사봤어요,21,4
그릭요거트화이트와인식초꿀 섞어서 찍어 먹으면 환상에요,29,5
에어프라이어용 돈까스지만 직접 튀겨먹는게 더 맛있는거 같아요 귀찮을땐 에어프라이어 그맛을 느끼고싶을땐 직접 튀겨먹어요,65,5
맛도 있고 간편해서 종종 구매합니다 고기도 꽤 두툼한 편이라 좋아요 강추,40,5
냉장고 한구석에 늘 쟁여둡니다 맛있고 간편하게 조리해서 좋아요,34,5
종종 구매해서 먹어요,11,4
오븐해서 먹었는데 약간 기름져요 하지만 살은 도톰해요,29,4
에프에 돌려서 간단하니 좋아요 카레우동에 토핑으로도 굿,30,5
생각보다 사이즈가 커서 좋아요,16,4
아이가 좋아해소 자주사요,13,5
가끔시켜먹는데 냉장고에있으면 든든해요,20,5
잘 받았습니다 맛있어요,12,5
먹는 도중에 생각나서 급하게 사진 찍고 리뷰합니다 리뷰가 좋지만 입맛에는 개인차가 있어서 반신반의로 5개만 구매해봤습니다 저희 집 에어프라이어는 15분으로는 부족해서 18분정도 해야했습니다 한 장당 2천원이면 괜찮은 것 같아서 나중에 재구매하려구요,138,4
